,id,name,popularity,duration_ms,explicit,artists,id_artists,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,x,y,c
25860,0YBfnSelTRPrMLVYen496G,four in one - alternate take / remastered 1998,8,210320,0,['Thelonious Monk'],['4PDpGtF16XpqvXxsrFwQnN'],1952,-0.14204359413242004,-0.023959675486904843,7,0.4089079833845841,0,-0.3950327350996175,0.7485946159977526,-0.425119674329468,-0.39026059105678684,0.18902996001208947,1.281447566170941,3,12.227295875549316,-14.183967590332031,94
25861,0bwm78gJxCMO9PkSUHfzXm,all i have to give you is my love,9,172867,0,['Dean Martin'],['49e4v89VmlDcFCMyDv9wQ9'],1952,-1.3039756585001172,-1.6315941312976847,0,-1.103079483071582,1,-0.3916974152573028,1.1155284849559985,-0.4233022955677436,-0.47163832779989945,-1.3012428835387126,-1.2558030296737188,4,-66.408203125,-20.092103958129883,71
25863,0q5DqC4hUYcJ7JMHpfLBfJ,from dueling to dancing,9,69973,0,['MGM Studio Orchestra'],['2EjrRJZBrUhYqcgmYF69N1'],1952-04-11,-1.1655070705184745,-1.7506781650614465,7,-1.7900071221529017,1,-0.3322175447360242,1.476729012211772,2.5126637260662,0.4180915939247992,-1.0683877517338995,-1.7309054631783911,4,-18.27841567993164,43.91802978515625,45
25865,1DTbeLQHf9vJtl3clzDsaJ,on ilkley moor bar t'at,8,195413,0,['Wallace House'],['71k5hr3m4aIzegvzxrq3NB'],1952-01-01,0.5984623328998426,-1.5561742432473025,7,-0.7837838842423072,1,1.2070325624922031,1.1929285979393784,-0.425119674329468,-0.7494076692163908,0.3520285522754586,-1.653295207793638,4,59.112728118896484,-38.329044342041016,79
25867,1U3Fdm0aBsZn31cgbSdw6D,until,8,168533,0,['Dean Martin'],['49e4v89VmlDcFCMyDv9wQ9'],1952,-1.6471369417589705,-1.552204775455177,0,-1.1565246540756202,0,-0.40392692134578995,1.3763955324185015,-0.4088569447915634,0.27161166778719653,-1.4137895305777053,-1.2773054380920055,3,-51.60688400268555,0.7996016144752502,71
25868,1h9RZW72mRYGBcdD179foe,if there's someone lovelier than you,9,163040,0,['Tal Farlow'],['0dIXV3ffgWlMcnywNIy0Wf'],1952-01-01,-0.0878602336178642,-0.9607540744284953,8,-1.010139902612353,1,-0.37835613588804407,1.081128434741163,0.9201153266170178,-0.5421656996439305,0.3908377409095941,-0.274117292839477,4,32.39334487915039,11.34152603149414,37
25870,265pslNnxflhSMZbdqJmtd,siegfried's death and funeral music,8,804027,0,"['Richard Wagner', 'Arturo Toscanini']","['1C1x4MVkql8AiABuTw6DgE', '4xpgBZSojKNEQqQHXrwSXA']",1952,-2.936098884666348,-1.7189224227244433,0,-1.5791737821259404,0,-0.3700178362822574,1.3247954570962484,3.108464186095423,-0.19495402287331634,-1.9935988087716894,-2.004019647603784,4,-37.31947326660156,66.40687561035156,45
25872,2R4OLn7lDqpNMTWdKzsJGR,finale (singin' in the rain),9,98867,0,"['Gene Kelly', 'Debbie Reynolds', 'MGM Studio Chorus']","['1mhlGWeiNrWnhJJc2EufYk', '4Zf0pLGYwNB86Y97kisvkn', '5dmuBOlipco9YnYwCbN5PW']",1952-04-11,-2.6344781778019875,-1.7788613863855365,5,-1.099149691085991,1,-0.3855826622130592,1.488195695616717,-0.340808288476276,-0.6441591296952983,-1.5108125021630439,-1.8766850727517432,4,-71.3875503540039,-1.8331457376480103,71
25874,2ZJT9gs4XGvI8HLEBAszPp,beautiful girl montage,9,59600,0,"['Jimmie Thompson', 'The Girl Friends', 'MGM Studio Orchestra', 'MGM Studio Chorus']","['1wqcJBJhF9c1Q0eWv2hBRi', '0mtm05Rl0vZGwVPeYP2rez', '2EjrRJZBrUhYqcgmYF69N1', '5dmuBOlipco9YnYwCbN5PW']",1952-04-11,-0.6296938387634224,-0.00014286873415252882,1,-0.4898354437200947,1,-0.27162590093397415,1.0667950804849813,-0.425119674329468,2.53391274924573,1.1747833513191304,0.21993413808381013,4,-8.069683074951172,-6.0631256103515625,90
25875,2jQCp1IU3GENp9hHmiU44l,the cuckoo,9,145613,0,['Jean Ritchie'],['7cWhIVoEYJd0oWnxULFt8s'],1952,-0.49122525078178,-2.057518025392738,2,-2.0145947341294317,1,-0.27107001429358835,1.5254624166827886,-0.425119674329468,-0.5909923416897981,-0.16801457542195672,-2.0846536791723587,4,-29.581161499023438,-53.96101379394531,94
